Date,By,Margin%,Customer_Count,Sales_Amount,Net_amount
2020-09-07,Model A,2.81%,74,2448,68.8
2020-09-08,Model A,1.11%,92,3232,35.72
2020-09-09,Model A,1.86%,120,3948,73.29
2020-09-10,Model A,2.20%,63,2207,48.45
2020-09-11,Model A,1.61%,64,2155,34.68
2020-09-12,Model A,0.64%,265,8484,54.29
2020-09-13,Model A,0.28%,241,7857,22.37
2020-09-07,Model B,3.31%,29,863,28.54
2020-09-08,Model B,1.36%,25,800,10.88
2020-09-09,Model B,1.27%,29,986,12.56
2020-09-10,Model B,1.14%,19,593,6.79
2020-09-11,Model B,2.23%,22,739,16.44
2020-09-12,Model B,0.55%,42,1348,7.37
2020-09-13,Model B,0.13%,53,1768,2.3
